Rank,Name,Breed,Gender,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Weapon,Offender,Summary
K9,Apache,Unknown Breed,Male,,1966-03-29,Tuesday,Automobile crash,"Chattanooga Police Department, Tennessee",Tennessee,,,,K9 Apache died as the result of injuries sustained in an automobile accident as his handler responded to a burglary in progress call. The patrol car crashed after the officer attempted to avoid a hazard in the roadway.Apache's suffered injuries so severe that he had to be euthanized.
K9,Hans,German Shepherd,Male,,1966-10-22,Saturday,Struck by vehicle,"Michigan State Police, Michigan",Michigan,3 years,,,K9 Hans was struck and killed by a car in Oakland County after his handler let him out of their cruiser for a break.K9 Hans had served with the Michigan State Police for three years.
K9,Heiko,German Shepherd,Male,,1968-06-03,Monday,Fall,"San Francisco Police Department, California",California,"1 year, 6 months",,,"K9 Heiko was killed while tracking burglary suspects when he fell from a building.K9 Heiko and his partner responded to 999 Van Ness Avenue for a burglar alarm at 12:10 am. Once on scene officers discovered a vehicle containing car and engine parts. The burglars, frightened by the police escaped to the roof of the building. K9 Heiko followed the thieves to the top of a fire escape, jumped a 3 1/2 foot parapet, and fell 48 feet from the roof to the street below.K9 Heiko served with the San Francisco Police Department for 18 months."
K9,Rex,German Shepherd,Male,3.0,1968-09-22,Sunday,Gunfire,"Huntsville Police Department, Alabama",Alabama,1 year,Handgun; .41 caliber,Apprehended,"K9 Rex was shot and killed while attempting an apprehension at the Whiteway Mobile Home Ranch near the intersection of Grace Street and Angelo Street (modern-day area of Memorial Parkway and Sparkman Drive).Officers were dispatched to the area to investigate the reports of gunfire at about 11:00 pm. Upon arrival, they located at least two mobile homes that had been struck by bullets. An officer went to the mobile home of the man he believed to be a suspect and looked through the window. He saw the man pacing the floor with a holstered pistol on his belt. The officer called for more assistance including a canine unit.By the time other units arrived, the suspect was outside his mobile home walking back and forth yelling at responding Officers. He drew his weapon several times and challenged the police to take it from him. K9 Rex was released by his handler for an apprehension. As K9 Rex attacked the suspect the man stepped aside. K9 Rex attacked a second time at which time the suspect shot him.While K9 Rex continued engaging the suspect, other officers were able to move into position and take the man into custody. The man was given probation and ordered to reimburse the department $200.K9 Rex had served with the Huntsville Police Department for one year."
K9,Thor,German Shepherd,Male,4.0,1969-04-25,Friday,Gunfire,"Miami Beach Police Department, Florida",Florida,,Handgun,Shot and killed,"K9 Thor was shot killed as his handler responded to a prowler call at 65030 Allison Road at 2:45 am.The homeowner had called the police to report a man attempting to get into his house. When Thor's handler arrived at the scene he noticed a flashlight being used in the home's backyard. He and Thor walked around to the back of the home where Thor suddenly alerted and began to growl.Thor's handler pointed his flashlight in the direction Thor was pointing and saw a man crouched down in the bushes. The man opened fire on Thor and his handler. Thor was fatally wounded by one of the shots fired by the suspect, who was also killed during the incident."
K9,Kirk,German Shepherd,Male,9.0,1970-12-03,Thursday,Gunfire,"Chicago Police Department, Illinois",Illinois,,Handgun,Shot and killed,K9 Kirk was shot and killed by a robbery suspect he was apprehending in an empty lot at 7502 S. Dorchester Avenue.The suspect shot K9 Kirk in the neck as Kirk attempted the apprehension. Officers on the scene returned fire and killed the subject.
K9,Fury,German Shepherd,Male,3.0,1971-04-12,Monday,Gunfire,"York City Police Department, Pennsylvania",Pennsylvania,,Handgun; .22 caliber,,"K9 Fury was shot and killed while attempting an apprehension of a homicide suspect behind a restaurant at Carlisle Road and Brougher Lane near Shiloh.The subject, who had murdered a woman during a burglary earlier in the day, had been located by officers who chased him behind the restaurant. K9 Fury was released for an apprehension but was shot by the man with a .22 caliber handgun. The man later committed suicide."
K9,Duke,Unknown Breed,Male,,1972-04-23,Sunday,Fall,"Baltimore City Police Department, Maryland",Maryland,,,,K9 Duke was killed when he fell from the top of a six-floor building while he and his partner searched it in response to a burglary call.They were on the roof of the Hochschild Kohn store when Duke jumped over a parapet while chasing a suspect who escaped down a fire escape. K9 Duke fell to the ground and died.
K9,King,Unknown Breed,,,1972-06-03,Saturday,Gunfire,"Augusta County Sheriff's Office, Virginia",Virginia,,,,"K9 King was shot and killed by a suspect during an open area search As he was attempting to locate a suspect, King was shot once.  Despite being wounded, he still attempted to apprehend the suspect but was shot and killed."
K9,Caesar,German Shepherd,Male,4.0,1972-02-14,Monday,Fall,"Chicago Police Department, Illinois",Illinois,,,,"K9 Caesar died after falling from a balcony in the Presentation Catholic Church at 758 South Springfield Avenue while searching for a suspect wanted for shooting a police officer.The officer had been shot by several juveniles at a nearby community center. K9 Caesar and another canine were put in the church during the search of the suspects. During the search K9 Caesar rushed up the stairs to the choir loft and, while jumping from row to row, inadvertently jumped over the railing and fell 40 feet to the pews below."
K9,Quint,Unknown Breed,Male,4.0,1974-02-06,Wednesday,Struck by vehicle,"Manteca Police Department, California",California,,,,K9 Quint was struck and killed by a vehicle on Highway 99 while tracking a prowler.A resident had called police to report a prowler at 304 Lovell Way. K9 Quint began tracking the suspect and ran into the path of a vehicle on the adjacent highway.
K9,Harvey,German Shepherd,Male,3.0,1974-03-23,Saturday,Unidentified,"Detroit Public Schools Community District Police Department, Michigan",Michigan,,,,K9 Harvey disappeared from his handler's patrol car while it was parked behind the Detroit Police Department's 13th Precinct at the intersection of Woodward Avenue and Hancock Street.Harvey and his handler had apprehended a burglary suspect at the Longfellow School and had gone to the precinct for the handler to book the subject. When his handler returned to the patrol car Harvey was missing. He was never recovered and was presumed dead.K9 Harvey had served with the Detroit Board of Education Police for two years.
K9,Woo,German Shepherd,,,1974-11-23,Saturday,Struck by vehicle,"Tucson Police Department, Arizona",Arizona,,,,K9 Woo was struck and killed by a parol car at the scene of a burglary call.
K9,Art,German Shepherd,Male,3.0,1974-08-26,Monday,Gunfire (Inadvertent),"Houston Police Department, Texas",Texas,,Officer's handgun,,"K9 Art was accidentally shot and killed by his handler during a shootout with two juveniles.His handler had pulled a vehicle over with two juveniles inside. One of the two youths exited the vehicle with a shotgun and fired as K9 Art was released. K9 Art's partner returned fire accidentally striking K9 Art.In November 1974, the subjects' attorney had a necropsy done on K9 Art and a .45 caliber bullet was removed. The juvenile was then charged with attempted murder."
K9,Silver,German Shepherd,Male,,1975-06-27,Friday,Gunfire,"Chandler Police Department, Arizona",Arizona,,Shotgun; 20 gauge,Unknown,"K9 Silver was shot and killed while training at the Jaycees Clubhouse at Frye and McQueen Roads in Chandler. Silver was in the yard of the Clubhouse, chasing a lizard near the chain-link fence when a neighbor shot K9 Silver with a shotgun. "
K9,Condor,German Shepherd,Male,,1975-10-30,Thursday,Struck by vehicle,"Cincinnati Police Department, Ohio",Ohio,4 years,,,K9 Condor was struck and killed by a vehicle when he began chasing a stray dog outside of the new 4th District police facility at 4150 Reading Road.Condor's handler had been assigned to inspect the new facility before its grand opening. His handler had just let him out of their cruiser when he saw the dog and started chasing it. K9 Condor and the stray dog were both struck and killed by an oncoming car after running into the roadway.K9 Condor had served with the Cincinnati Police Department for four years.
K9,Fritz,German Shepherd,Male,,1975-04-28,Monday,Fall,"Pittsburgh Bureau of Police, Pennsylvania",Pennsylvania,,,,"K9 Fritz was killed after falling four stories while searching for a burglary suspect.K9 Fritz and his partner had answered a call of a suspected burglary in progress at a building in the 1400 block of Western Avenue on the city's north side. Fritz, his partner, and other officers had entered the building's roof through a skylight to search the roof. K9 Fritz lunged towards a noise he herd on the roof and fell four stories.Fritz was found unconscious in an alley by other officers and rushed to a veterinary hospital where he was pronounced dead."
K9,Bandit,German Shepherd,Male,5.0,1975-08-05,Tuesday,Gunfire,"Fairfax County Police Department, Virginia",Virginia,"3 years, 6 months",Handgun,,"K9 Bandit was shot and killed while attempting an apprehension following a vehicle pursuit of a stolen car.Officers attempted to the vehicle in the area of Route 1 and Giles Run Road, but the vehicle fled southbound into the Woodbridge area of Prince William County. The occupants abandoned the vehicle at Railroad Street and fled on foot in a residential area. K9 Bandit was released to attempt an apprehension but was shot multiple times. Officers located K9 Bandit approximately 100 yards from where he was released.He was taken to a veterinary hospital where he died several hours later."
K9,Mac,Unknown Breed,,,1976-08-01,Sunday,Heatstroke,"Miami Police Department, Florida",Florida,,,,"K9 Mac and K9 Dorn, of the Miami-Dade Police Department, both died from heat exhaustion during a search for a violent robbery subject in the area of NW 167 Street and 57 Avenue.As K9 Dorn and his handler searched a wooded area they encountered K9 Mac's handler, who was returning to his patrol car because Mac was displaying signs of heat exhaustion. Both handlers returned to their patrol cars where Mac suddenly collapsed. Dorn was placed in the patrol car where he became unresponsive as well.Dorn was transported to a local fire station where rescue efforts were unsuccessful."
K9,Dorn,Unknown Breed,,,1976-08-01,Sunday,Heatstroke,"Miami-Dade Police Department, Florida",Florida,,,,"K9 Dorn and K9 Mac, of the Miami Police Department, both died from heat exhaustion during a search for a violent robbery subject in the area of NW 167 Street and 57 Avenue.As K9 Dorn and his handler searched a wooded area they encountered K9 Mac's handler, who was returning to his patrol car because Mac was displaying signs of heat exhaustion. Both handlers returned to their patrol cars where Mac suddenly collapsed. Dorn was placed in the patrol car where he became unresponsive as well.Dorn was transported to a local fire station where rescue efforts were unsuccessful."
K9,Caesar,German Shepherd,Male,,1976-04-17,Saturday,Struck by vehicle,"Meriden Police Department, Connecticut",Connecticut,"1 year, 6 months",,,K9 Caesar was struck and killed by a vehicle while attempting to come to the assistance of his handler who was struggling with a suspect on Research Parkway.The handler and other officers had gone to the area as the result of illegal drag racing on the roadway. The handler was attempting to arrest a man who started to resist. Caesar jumped from the patrol car to come to his aid but was struck by a passing car.K9 Caesar had served with the Meriden Police Department for 1-1/2 years.
K9,Sam,Unknown Breed,,,1977-01-01,Saturday,Poisoned,"Maricopa County Sheriff's Office, Arizona",Arizona,,Poison,,K-9 Sam was poisoned while in the backyard of his residence.  The suspect knew that Sam was a police dog due to the Sheriff's vehicle being parked out in front of the house.
K9,Max,German Shepherd,Male,2.0,1977-06-14,Tuesday,Gunfire,"Dickson Police Department, Tennessee",Tennessee,7 months,Gun; Unknown type,Shot and killed,"K9 Max and Deputy Sheriff Robert Mayo, of the Dickson County Sheriff's Office, were shot and killed while attempting to arrest two escapees, a man and woman, from the Dickson County Jail. The male was a fugitive after having previously escaped from a jail in Connecticut while being held on an attempted murder charge. After escaping from the Dickson County Jail the couple broke into a home and robbed the owner before stealing a car. A Dickson County constable found the couple driving the car on Highway 49 the following day and initiated a pursuit.The pursuit ended when the vehicle crashed as it rounded a curve approximately four miles east of Charlotte. During the ensuing manhunt, K9 Max was fatally shot after locating the man hiding in a tree. Deputy Mayo heard the shots and was shot in the neck as he neared the area.The subject was able to escape but was later shot and killed during a shootout with members of the Connecticut State Police."
K9,King,German Shepherd,Male,4.0,1978-05-22,Monday,Gunfire,"Clarksville Police Department, Tennessee",Tennessee,,Shotgun,,"K9 King was shot and killed while protecting his handler after responding to a burglary in progress call.As his handler approached the home the suspect emerged from a doorway, raised a shotgun, and fired. King immediately sprang up in front of his handler and took the entire blast."
K9,Baron,German Shepherd,Male,4.0,1978-11-06,Monday,Automobile crash,"Orlando Police Department, Florida",Florida,3 years,,,K9 Baron was killed in a vehicle crash at the intersection of Church Street and Magnolia Avenue.Another vehicle ran a red light and struck the patrol car that Baron was riding in. The driver of the other vehicle was charged with violating right-of-way.K9 Baron had served with the Orlando Police Department for three years.
K9,King,German Shepherd,Male,,1978-05-03,Wednesday,Exposure to toxins,"Chicago Police Department, Illinois",Illinois,2 years,,,K9 King after ingesting food that had been laced with rodent poison while conducting a search.K9 King had served with the Chicago Police Department for two years.
K9,Sieger,German Shepherd,Male,9.0,1979-05-14,Monday,Exposure to toxins,"Chicago Police Department, Illinois",Illinois,"7 years, 7 months",,,"K9 Sieger died after ingesting the rodent poison sodium fluoroacetate while searching a liquor store at 45 East Garfield Boulevard.He and his handler had been dispatched to the location for a burglar alarm and located an open door. K9 Sieger made his way downstairs during the search and began to eat chunks of bread on the floor. The bread had been laced with the rodent poison, causing Sieger to become ill. He was immediately taken to a local animal hospital where he died.K9 had served with the Chicago Police Department for 7-1/2 years and was only six months short of being retired."
K9,Magnum,German Shepherd,Male,,1979-07-28,Saturday,Struck by vehicle,"Saddle River Police Department, New Jersey",New Jersey,,,,K9 Magnum was struck and killed by a car while tracking a larceny suspect.Magnum had successfully located the subject who was hiding in an overgrown area near the Saddle River. The subject fled across the river with Magnum's handler in pursuit.Magnum attempted to follow his handler and the subject but became separated and was struck by a vehicle on West Saddle River Road.
K9,Vem,Unknown Breed,Male,,1979-07-02,Monday,Stabbed,"Napa Police Department, California",California,,,,"K9 Vem was died from a knife wound suffered the previous day while protecting his handler.Vem's handler was attempting to take a vandalism suspect into custody at a local apartment complex. As the officer entered the apartment the man lunged at him with a knife, but K9 Vem immediately took action to protect his handler. Vem was slashed across the throat and died the following day."
K9,Beau,German Shepherd,Male,2.0,1979-04-17,Tuesday,Gunfire,"Altoona Police Department, Pennsylvania",Pennsylvania,,Handgun; .357 caliber,Shot and wounded,K9 Beau succumbed to a gunshot wounds sustained two weeks earlier while attempting a take down on an armed hostage taker.The subject was wanted for the wounding of a Hollidaysburg police officer four months earlier and had been at a home in Altoona. As officers surrounded the house the man exited holding a female hostage. As the pair walked up the woman tripped and fell out of the hostage taker's grasp. K9 Beau was released but was shot as he attempted to bite the subject. The man then grabbed the female again and was able to walk several blocks before releasing her and taking a boy as a hostage.The man then let the boy go when he began crying. The subject was shot and taken into custody when he attempted to run away.K9 Beau was flown to an emergency veterinary hospital in Philadelphia but had to be euthanized when it was determined that his spinal cord had been severed.
K9,Sarge,German Shepherd,,,1979-01-18,Thursday,Stabbed,"Garrett County Sheriff's Office, Maryland",Maryland,,Edged weapon; Sword,Sentenced to life,"K9 Sarge was killed with a samurai sword after he and his handler, Deputy Sheriff David Livengood, responded to a burglary call at the Army - Navy store in Oakland, Maryland.After shooting Deputy Livengood, the two suspects killed his canine, Sarge, with a samurai sword. The suspects fled in Deputy Livengood's cruiser. A short time later they tied up a family near Dear Park and stole their car. Later that day they were captured by state police near Morgantown, West Virginia.Both suspects were convicted of first degree murder. One was sentenced to death but later his sentence was commuted to life. He died in prison on October 26, 2006. The other suspect was sentenced to life. On November 22, 2011, his murder conviction was reversed. He remains in custody pending further proceedings. "
K9,Rex III,Unknown Breed,Male,,1979-02-13,Tuesday,Exposure to toxins,"Chicago Police Department, Illinois",Illinois,,,,K9 Rex III died after ingesting meat that was laced with poison while searching a grocery store at 315 East 47th Street.The laced meat had been placed out in the store in an effort to kill rodents.
K9,Sarge,Unknown Breed,,,1980-09-26,Friday,Automobile crash,"Homestead Police Department, Florida",Florida,,,,K9 Sarge died from his injuries when his partner was involved in a vehicle accident. 
K9,Sarge II,German Shepherd,Male,,1980-09-25,Thursday,Gunfire,"Hampton Police Department, Virginia",Virginia,,Shotgun,Committed,"K9 Sarge II succumbed to a gunshot wound sustained nine days earlier while attempting to apprehend a barricaded mental subject at 385 Fern Street.The subject had barricaded himself inside a storage room after making claims that people were attempting to kill him. K9 Sarge II was released into a room to subdue him prior to the SWAT team making entry, however, the man immediately fired a shotgun at him. K9 Sarge II was struck by numerous pellets and wounded. His handler was able to open the door to let him out of the room and then rushed him to a veterinary clinic.His condition worsened and he died on September 25th, 1980.The man who shot him was committed to Eastern State Hospital."
K9,Asko,German Shepherd,Male,3.0,1981-05-19,Tuesday,Fall,"Redding Police Department, California",California,3 years,,,"K9 Asko died after falling from the roof of the Shasta County Jail while searching for five escaped inmates.Five inmates escaped from the Shasta County Jail and fled to the roof to make the final escape from the facility.  The inmates were reported to be armed.  The roof of the jail is surrounded by a three-foot perimeter wall and there are numerous air conditioning units and many other places the escapees could hide. K9 Asko was assigned to search the roof for the escapees.  As Asko was searching he  picked up a scent. He made his way across the roof and followed the scent by jumping over the three-foot wall and falling three stories to his death. K9 Asko had served with the Redding Police Department for two years.  During his service, K9 Akso was responsible for over 60 arrests and 25 justified street bites. "
K9,Smokey,German Shepherd,Male,5.0,1981-09-18,Friday,Gunfire (Inadvertent),"Boynton Beach Police Department, Florida",Florida,"2 years, 6 months",Handgun,,"K9 Smokey was shot and killed after inadvertently biting a Florida Highway Patrol trooper during a foot pursuit in Lantana.The trooper had conducted a traffic stop on I-95. The trooper didn't know that the vehicle had been stolen and began writing a ticket to the driver. The man jumped back into the car and fled, leading the trooper in a pursuit. The car came to a stop after turning onto a dead-end street off or Route 1 in south Lantana and the man fled on foot into a neighborhood.K9 Smokey was deployed to apprehend the subject but mistook the trooper for the fleeing man and bit him. The trooper shoot Smokey in an attempt to defend himself.K9 Smokey had served with the Boynton Beach Police Department for 2-1/2 years."
K9,Rooster,Unknown Breed,,,1981-06-04,Thursday,Fall,"Los Angeles Police Department, California",California,6 months,,,K9 Rooster died in a fall while on duty.
K9,Gauner,Unknown Breed,Male,,1982-12-06,Monday,Gunfire,"Los Angeles County Sheriff's Department, California",California,2 years,,,K9 Gauner was shot and killed as he and his handler search for a suspect after responding to a burglary in progress in the East Compton area.Gauner was searching a structure that was under construction when he was shot.
K9,Ryker,German Shepherd,Male,7.0,1982-12-26,Sunday,Vehicular assault,"Tacoma Police Department, Washington",Washington,1 year,Automobile,,"K9 Ryker was struck and killed by a hit-and-run driver while performing a canine track at the scene of an armed commercial robbery at 7:20 pm.He and his handler had been called in after the robbery at 4010 Portland Avenue. K9 Ryker started a track that led him across Portland Avenue. As they crossed the street a sports car driving without headlights on entered the area at a high rate of speed and struck K9 Ryker, inflicting fatal injuries. The vehicle failed to stop and fled the area.K9 Ryker's handler transported him to a local veterinary clinic where K9 Ryker died.K9 Ryker had served with the Tacoma Police Department for one year and was the agency's first canine."
K9,Sultan,German Shepherd,Male,,1982-07-12,Monday,Gunfire,"Baltimore City Police Department, Maryland",Maryland,2 years,Shotgun; 12 gauge,Apprehended,"K9 Sultan was shot and killed by a barricaded suspect at a row house in the first block of North Bruce Street at approximately, 1:30 p.m.Officers had responded to a burglary when the suspect broke into his father's home. K9 Sultan and another canine were released by their handlers after the suspect refused to leave. As K9 Sultan entered the kitchen the suspect fatally shot him in the neck. K9 Sultan was taken to a veterinary hospital where he was pronounced dead.The suspect surrendered to police after a nearly 23-hour standoff as police threatened to send tear gas into the home.K9 Sultan served with the Baltimore City Police Department for two years"
K9,Mac,Unknown Breed,,,1982-10-14,Thursday,Stabbed,"Trenton Police Department, New Jersey",New Jersey,,Edged weapon; Knife,,K9 Mac was stabbed to death after he and his handler responded to a burglary in progress at a local tavern.As Mac and his handler conducted a sweep of the building the suspect suddenly exited a utility closet in the basement holding a knife. Mac immediately attempted to apprehended the man but was fatally stabbed.
K9,Eon,Unknown Breed,Male,2.0,1983-06-30,Thursday,Struck by vehicle,"Topton-Maxatawny-Lyons Police Department, Pennsylvania",Pennsylvania,2 months,,Arrested,"K9 Eon was struck and killed by a vehicle while tracking two burglary suspects near Grim Road in Maxatawny Township.K9 Eon was on a 12-foot lead when he was struck by a vehicle as he crossed Route 222. Both subjects, including one juvenile, were apprehended and charged with several counts.K9 Eon had served with the Topton-Maxatawny-Lyons Police Department for only two months."
K9,Lobo,German Shepherd,Male,2.0,1983-10-10,Monday,Struck by vehicle,"Norfolk Police Department, Virginia",Virginia,1 year,,Escaped,"K9 Lobo was struck and killed by a vehicle while tracking a suspect at 1:45 am. K9 Lobo and his handler responded to a call of subjects attempting to steal a truck. The men fled when the Officer and K9 Lobo arrived. The officer pursued one subject while K9 Lobo chased the other subject. When the subject ran across Brambleton Avenue, K9 Lobo followed and was struck by a truck. K9 Lobo was transferred to a veterinarian but succumbed to his wounds en route. Both suspects escaped. No charges were filed against the truck driver. K9 Lobo had served with the Norfolk Police Department for over one year. "
K9,Cello Van Wachthaus,German Shepherd,Male,5.0,1984-04-26,Thursday,Duty related illness,"Delray Beach Police Department, Florida",Florida,3 years,,,K9 Cello died from injuries sustained while attempting to apprehend one of two subjects who had just stolen automobile parts from the Hoyle Cadillac dealership at 2300 South Federal Highway.One of the men had climbed atop a tractor-trailer while fleeing from pursuing officer. K9 Cello injured his abdomen as he attempted to jump onto the truck. His handler took him to an animal hospital the following day where he died while undergoing an operation.K9 Cello had served with the Delray Beach Police Department for three years.
K9,Damon,German Shepherd,Male,7.0,1984-07-07,Saturday,Fall,"Rochester Police Department, New York",New York,,,,K9 Damon died after falling from the roof of the Boise Cascade envelope factory at 72 Cascade Place while searching it for burglary suspects.Officers had arrested one man after responding to the scene to investigate a burglary alarm. K9 Damon and his handler were searching the rest of the building when Damon inadvertently jumped over the edge of the roof.
K9,Sonny,German Shepherd,Male,,1984-08-26,Sunday,Gunfire,"Ventura Police Department, California",California,,Handgun,Sentenced to 1 year,"K9 Sonny was shot and killed while attempting to apprehend an armed and wanted parolee who had kidnapped his ex-girlfriend.Sonny was deployed after the subject fled from officers on foot. As Sonny got close the man pulled out a handgun and shot him twice, killing him. The man then surrendered and was subsequently sentenced to one year in jail."
K9,Roscoe,German Shepherd,Male,,1984-07-13,Friday,Struck by vehicle,"Phoenix Police Department, Arizona",Arizona,,,,"K9 Roscoe was struck and killed by a vehicle after assisting his handler apprehended a subject.Roscoe's handler had been attempting to arrest a drunk driver when Roscoe jumped from the patrol car to assist. His handler ordered him to return to the car, at which point he was struck by an oncoming vehicle."
K9,Rebel,German Shepherd,Male,5.0,1984-10-26,Friday,Stabbed,"Prince George's County Police Department, Maryland",Maryland,2 years,Edged weapon; Knife,,"K9 Rebel was stabbed to death as he and his handler, Corporal Joseph Wing, searched Mount Rainier Junior High School after responding to a burglary in progress call at the location.A perimeter had been established around the building and instructions given for the occupants to exit the building. After several minutes Corporal Wing and Rebel entered the school's boiler room and made their way throughout the building. Rebel alerted his handler to a darkened classroom and then entered the room. He attempted to make an apprehension on a subject who was standing against a rear wall, but was stabbed in the chest. The subject then advanced towards Corporal Wing, who fatally shot him.K9 Rebel had served with the Prince George's County Police Department for two years. He was as the first K9 member of the agency to give his life in the line of duty."
